Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,,,,,,,,,
,,,,,,,,,Histórico de composição dos Órgãos Judicantes,Percorra a linha do tempo para ver as datas de alterações dos órgãos judicantes,https://drive.google.com/file/d/1yerlrhCUA5QcAlrjOhsMxYP_DvaOkc2M/view?usp=share_link,"Para consultar as datas de alteração, use a seta ao lado","Para ver a composição atual, use a seta abaixo",,title,,
2022,5,19,,,,,,19 de Maio de 2022,19/5/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vSx617E2SCnt1LTqbWIJEK1yhkmqwRz3vOY9Taxw09jY6P2hYclXg7gn1-dKqmHgr0t79YcVlPiLcDU/pub"" title=""levar para link""> ATO SEGJUD.GP N° 238, DE 19 DE MAIO DE 2022.  </a>",https://drive.google.com/file/d/1JTQQ57Q_W4c1JV2TlWnAVvQ0oX1nY1EK/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/200993,"ATO SEGJUD.GP N° 238, DE 19 DE MAIO DE 2022.",,,,
2022,2,24,,,,,,24 de Fevereiro de 2022,24/2/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vT7zo3MBkXtrnlOACuzsJPuJdbfjzGoCn_ZUDoxkGGMDnImfl08mT4ltlH7kIiIY2CNDxjW3b41u5cm/pub"" title=""levar para link""> ATO SEGJUD.GP N° 85, DE 24 DE FEVEREIRO DE 2022. </a>",https://drive.google.com/file/d/1nfT4Xd6YYDm83yk_3eCDFIzMaU_oFGQT/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/197453,"ATO SEGJUD.GP N° 85, DE 24 DE FEVEREIRO DE 2022.",,,,
2022,2,17,,,,,,17 de Fevereiro de 2022,17/2/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vQ0bOyZyTg-EM3qge8AYvWYUe205PJ7yoqwdIMFKK0N_FkKyZLdW3AnjcWUJ_HE_7-wWSymYwUErn7X/pub"" title=""levar para link""> ATO SEGJUD.GP N° 79, DE 17 DE FEVEREIRO DE 2022 </a>",https://drive.google.com/file/d/1tbhlWLMoUmEHVAyorUShr69h5Dvzkwzq/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/197273,"ATO SEGJUD.GP N° 79, DE 17 DE FEVEREIRO DE 2022",,,,
2021,12,22,,,,,,22 de Dezembro de 2021,22/12/2021,"<a href=""https://docs.google.com/document/d/e/2PACX-1vQqYEm4FU_0nyeAVyD6pn_naFqWNOMSiSJYzsR6BnzUwh93Sg8QyNZSAffHfCN4nTNIblIDw83_vs8a/pub"" title=""levar para link""> ATO SEGJUD.GP N° 356, DE 22 DE DEZEMBRO DE 2021.  </a>",https://drive.google.com/file/d/11_SGA_nUlLaaqZFLxyP2bx8h7uDUkTwK/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/196471,"ATO SEGJUD.GP N° 356, DE 22 DE DEZEMBRO DE 2021.",,,,
2021,11,8,,,,,,8 de Novembro de 2021,8/11/2021,"<a href=""https://docs.google.com/document/d/e/2PACX-1vR9m3KVJCO6itnqTP89CPSywWEeq7yaLg6kQRwmEq43uszkePCRfZLaNjzlPa_ubKVUCNwkOQ3LT98Z/pub"" title=""levar para link""> ATO SEGJUD.GP N° 302, DE 8 DE NOVEMBRO DE 2021. </a>",https://drive.google.com/file/d/1e972F0PjMvHHUi2oZS3jetFNryRrzzOm/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/195054,"ATO SEGJUD.GP N° 302, DE 8 DE NOVEMBRO DE 2021.",,,,
2021,7,22,,,,,,22 de Julho de 2021,22/7/2021,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRAgr9IcVhXc6kbEK5cjO2bt2VHZhpVI2k0IlKLc8Jdyzoz8qJsSLMXXqsVVBP-ILH6fzbiZlzi_wMz/pub"" title=""levar para link""> ATO SEGJUD.GP N° 179, DE 22 DE JULHO DE 2021. </a>",https://drive.google.com/file/d/12hMl8RxFTZ4YTnUYH8sFLJNYrjrQCdmH/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/190022,"ATO SEGJUD.GP N° 179, DE 22 DE JULHO DE 2021.",,,,
2021,6,4,,,,,,4 de Junho de 2021,4/6/2021,"<a href=""https://docs.google.com/document/d/e/2PACX-1vQ09Mi3Xb4NVeQdqCTvO7cSgAPAJP2YISsL3gePNZfLiw1qSy_aV6jydk2a9xdxtS21jOv0QnwEnBJx/pub"" title=""levar para link""> ATO SEGJUD.GP N° 130, DE 4 DE JUNHO DE 2021. </a>",https://drive.google.com/file/d/143Aw-v4vZvG6ubnbUg8BEAVoj96Oz0To/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/187072,"ATO SEGJUD.GP N° 130, DE 4 DE JUNHO DE 2021.",,,,
2021,3,26,,,,,,26 de Março de 2021,26/3/2021,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRQy8_4VhWRoqyvpG0F92vGvl3zO4bavooxkvEKDvOg5o3iJNX7GQRfLYdxGrjySNsZwyiZXOJ_62fX/pub"" title=""levar para link"">ATO SEGJUD.GP N° 59, DE 26 DE MARÇO DE 2021.</a>",https://drive.google.com/file/d/1Nvq7nRQaJJ2aGoZ8Aa16WuFoX4w5Xsgo/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/183650,"ATO SEGJUD.GP N° 59, DE 26 DE MARÇO DE 2021.",,,,
2021,3,10,,,,,,10 de Março de 2021,10/3/2021,"<a href=""https://docs.google.com/document/d/e/2PACX-1vQgXm2JWqEK7xrDlxkhlr23WT8z6WCr4WDi-4gfIAru9c3qpzjp70Mr_7EzWOW4jdnUTWZVNKm6obpq/pub"" title=""levar para link"">ATO SEGJUD.GP N° 42, DE 10 DE MARÇO DE 2021.</a>",https://drive.google.com/file/d/1Ft5ei46id4BJbAqQAFZ80AO_Y5hAeJ24/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/182675,"ATO SEGJUD.GP N° 42, DE 10 DE MARÇO DE 2021.",,,,
2020,8,12,,,,,,12 de Agosto de 2020,12/8/2020,"<a href="""" title=""levar para link"">  </a>",https://drive.google.com/file/d/17O_f0C4xbJA3GRwrPHs3VUUVSD4hABPh/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/176011,"ATO SEGJUD.GP N° 323, DE 12 DE AGOSTO DE 2020",,,,
2020,3,13,,,,,,13 de Março de 2020,13/3/2020,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRdve4p0-jI0rpexyTf2hLlxFKcs0JHoitdYdxIfQSyig1em0Gr9bMjO5XEe2RI9m_Gp3TbutElOFw7/pub"" title=""levar para link""> ATO SEGJUD.GP N° 125, DE 13 DE MARÇO DE 2020. </a>",https://drive.google.com/file/d/18PQ7IFFBfRUz3Fu6iujhNEgkro_1jP37/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/169351,"ATO SEGJUD.GP N° 125, DE 13 DE MARÇO DE 2020.",,,,
2019,10,4,,,,,,4 de Outubro de 2019,4/10/2019,"<a href=""https://docs.google.com/document/d/e/2PACX-1vTy7Z3JlLeddXRpItErtSg6MntFOoQOo7a7mowXm5C7Bj_vaqjd_kkpssaVDIYf83MHoIgNipaPxGBO/pub"" title=""levar para link"">ATO SEGJUD.GP N°388, DE 4 DE OUTUBRO DE 2019</a>",https://drive.google.com/file/d/1VFuhVpAUsDXl6OBNfitEAswLFsuPdNNr/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/162935,"ATO SEGJUD.GP N°388, DE 4 DE OUTUBRO DE 2019",,,,
2019,7,5,,,,,,5 de Julho de 2019,5/7/2019,"<a href=""https://docs.google.com/document/d/e/2PACX-1vTpyC8mO-sGgzpPdEDaAh-eFoUzK0b6beMyVof0757XOsp0btdgZUNtGQyYsaBjvIoMcQHYRbqryCMX/pub"" title=""levar para link""> ATO SEGJUD.GP N° 241, DE 5 DE JULHO DE 2019 </a>",https://drive.google.com/file/d/1pThPYqraTsLXWjjpCxVB2eVDNZ4cl0LK/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/158531,"ATO SEGJUD.GP N° 241, DE 5 DE JULHO DE 2019",,,,
2019,3,25,,,,,,25 de Março de 2019,25/3/2019,"<a href=""https://docs.google.com/document/d/e/2PACX-1vTn7ICKdy5Mfkcst-xsL2uUYK2V6WexJBIZKADi3we3VXW8ZYiA5TLTuKcradwxlPGtjJOSyO4GXD3d/pub"" title=""levar para link"">ATO SEGJUD.GP N° 95, DE MARÇO DE 2019</a>",https://drive.google.com/file/d/16tX3Xc-pcm_lSlEp3-pDma-3-oNKsIle/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/152531,"ATO SEGJUD.GP N° 95, DE MARÇO DE 2019",,,,
